q1,q2,q3,q4,lead,d1,d2,d3,d4,distance,spot,play
0,1,0,0,0.475,0,0,0,1,0.3,0.646464646,PUNT
0,1,0,0,0.475,1,0,0,0,1,0.626262626,RUSH
0,1,0,0,0.475,0,1,0,0,0.6,0.585858586,RUSH
0,1,0,0,0.475,1,0,0,0,1,0.484848485,MEDIUM_PASS
0,1,0,0,0.475,1,0,0,0,1,0.343434343,RUSH
0,1,0,0,0.475,0,1,0,0,1.2,0.363636364,SHORT_PASS
0,1,0,0,0.475,0,0,1,0,1.2,0.363636364,RUSH
0,1,0,0,0.475,0,0,0,1,0.8,0.323232323,SHORT_PASS
0,1,0,0,0.533333333,1,0,0,0,1,0.646464646,RUSH
0,0,1,0,0.533333333,1,0,0,0,1,0.707070707,RUSH
0,0,1,0,0.533333333,1,0,0,0,1,0.595959596,RUSH
0,0,1,0,0.533333333,1,0,0,0,1,0.313131313,RUSH
0,0,1,0,0.475,1,0,0,0,1,0.757575758,RUSH
0,0,1,0,0.475,1,0,0,0,1,0.595959596,RUSH
0,0,1,0,0.475,0,1,0,0,0.5,0.545454545,RUSH
0,0,1,0,0.475,0,0,1,0,0.4,0.535353535,RUSH
0,0,1,0,0.475,1,0,0,0,1,0.474747475,RUSH
0,0,1,0,0.475,0,1,0,0,0.6,0.434343434,RUSH
0,0,1,0,0.475,1,0,0,0,1,0.282828283,RUSH
0,0,1,0,0.475,0,1,0,0,0.7,0.252525253,RUSH
0,0,1,0,0.475,0,0,1,0,0.5,0.232323232,LONG_PASS
0,0,1,0,0.475,1,0,0,0,0.1,0.01010101,RUSH
0,0,1,0,0.533333333,1,0,0,0,1,0.717171717,RUSH
0,0,1,0,0.533333333,0,1,0,0,0.6,0.676767677,RUSH
0,0,1,0,0.533333333,1,0,0,0,1,0.505050505,RUSH
0,0,1,0,0.533333333,0,1,0,0,0.3,0.434343434,RUSH
0,0,1,0,0.533333333,0,0,1,0,0.3,0.434343434,RUSH
0,0,1,0,0.533333333,1,0,0,0,1.5,0.444444444,RUSH
0,0,1,0,0.533333333,0,1,0,0,0.6,0.353535354,RUSH
0,0,1,0,0.533333333,1,0,0,0,1,0.262626263,RUSH
0,0,1,0,0.533333333,0,1,0,0,0.6,0.222222222,RUSH
0,0,0,1,0.533333333,1,0,0,0,0.1,0.01010101,RUSH
0,0,0,1,0.541666667,1,0,0,0,1,0.727272727,RUSH
